,id,comment,reviewerName,updateDate,totalPoint,photoCount,reviewPhotos,shopId,shopName,stylerId,stylerName,stylerLevel,stylerActive,productName,userChargedPrice,complianceStatus,blindAt,retreatment,reply,replyable
275,358807,오늘 방문해서 펌했는데 엄청 친절하셨고 또 펌도 맘에 쏙 들었어요:)♡ 첨 방문했는데 컬도 맘에들고 머리 말리는 방법도 세세하게 알려주셔서 넘 좋았습니다>_<,김*진,1년 전,5.0,0,[],1076,반함헤어,,,,False,로레알 셋팅,0,NORMAL,,FRESH,"{'id': 194055, 'comment': '언제나 만족하는 스타일 선물해드릴게요^^', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
274,358818,"첫 방문이였지만 친절하시고, 대화도 많이하고 머리도 너무 맘에 들어요   오늘은 염색했지만 다음방문때는 펌하러 갈꺼에요!! :) 그때두 잘 부탁드립니다><",김*희,1년 전,5.0,0,[],1076,반함헤어,13847.0,이은,수석디자이너,True,전체염색,0,NORMAL,,FRESH,"{'id': 194056, 'comment': '다음에도 예쁘게 변신도와드릴게요^^', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
273,373156,제가 원하는 디테일 하나하나 물어봐주시고 꼼꼼하게 상담해주셔서 좋았어요 스탭분도 편하고 친절하게 대해주시구 간식도 풍요로웠어요ㅋㅋㅋ 시술중에 손상도도 많이 신경써주시고 따로주신 트리트먼트도 잘받았어요ㅎㅎ 사라쌤이 고데기같은 컬을 확실히 잘 뽑으시네요   5개월 지속된다고 하셨는데 이 컬로 유지만 잘되면 재방문 할게요~,홍*현,1년 전,5.0,0,[],1076,반함,1959.0,사라,원장,True,여신머리 고데기펌,0,NORMAL,,FRESH,"{'id': 195884, 'comment': '꺄감사합니당>.< 반함헤어 고객님들은 일년에 한두번 펌을하세요!ㅎㅎㅎ 오래오래가는 고데펌이니 걱정하지 않으셔도 되십니당^^ 오개월 후에 뵐게요^^❤️', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
272,376029,사라원장님이 꼼꼼하고 세심하게 해주셔서 제가 원하는 스타일이 잘 나왓어요! 머릿결도 안상하고 괜찮네요! 다음에 또 찾아갈게요!,한*라,1년 전,4.0,0,[],1076,반함,1959.0,사라,원장,True,로레알 셋팅,0,NORMAL,,FRESH,"{'id': 205477, 'comment': '반함헤어를 찾아주셔서 감사합니당!!>.<  앞으로도 좋은 인연이 되었으면 좋겠습니다! 손질 어려우시면 연락주시고 예쁘게 하시고 다니세용!^^', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
271,379181,매우 만족해요 원장님뿐만 아니라 스텝분들 모두 제가 마지막 고객이어서 혼자 있었는데도 불구하고 늦은시간까지 정말 친절하게 대해주셨어요 히로쌤이 본인만 믿으면 된다고 하셨는데 정말 결과물이 보여줍니다ㅠㅠ  피곤했는데 머리 완성된거 보고 기분 좋아서 사진 계속 찍으면서 집에왔네요 꼭 여기서 머리하세요  예쁜 머리 감사합니다❣,서*애,1년 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/hP8x5/btqoxx1rNdD/0p0dyklWgjTntENYnU0Hgk/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/hP8x5/btqoxx1rNdD/0p0dyklWgjTntENYnU0Hgk/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/hP8x5/btqoxx1rNdD/0p0dyklWgjTntENYnU0Hgk/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,1958.0,히로,원장,True,프리미엄 셋팅,0,NORMAL,,FRESH,"{'id': 214791, 'comment': '감사합니다!^^ 다음번 방문때도 이쁘게해드릴게요!^^ 손질 어려우시면 연락 주세요!^^ 좋은하루되세용 ㅎㅎㅎㅎ  ', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
270,389228,숱없는 얇은 생머리 극손상모인데 컬은 완전 탱글하게 볼륨도 빠방하게 나왔습니다 ㅎㅎ  두달전에 카카오예약으로 펌했다가 맘에 안들어서 다시했는데 완전 만족합니다. 감사합니다. ^^**,심*희,1년 전,5.0,2,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/XPBIr/btqoSwO1RAd/hnxEulY1p8NpilRwTrNdkk/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/XPBIr/btqoSwO1RAd/hnxEulY1p8NpilRwTrNdkk/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/XPBIr/btqoSwO1RAd/hnxEulY1p8NpilRwTrNdkk/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}, {'photoThumbUrl': 'https://mud-kage.kakao.com/dn/WzNd2/btqoPMkNoae/poR203dDQ3PNXoYvSYFwyK/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/WzNd2/btqoPMkNoae/poR203dDQ3PNXoYvSYFwyK/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/WzNd2/btqoPMkNoae/poR203dDQ3PNXoYvSYFwyK/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,1959.0,사라,원장,True,여신머리 고데기펌,0,NORMAL,,FRESH,"{'id': 212687, 'comment': '역시역시~~~ 펌하고 숱이 세배는 많아보이셔용!ㅎㅎㅎ 풍성한 고데기펌은 반함헤어~~^^ 좋은하루되세요!!^^ㅎㅎ', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
269,391811,쌤도 너무 친절하시고 머리도 예쁘게 잘나왔어요!! 추천합니닷!!,김*경,1년 전,5.0,0,[],1076,반함,13847.0,이은,수석디자이너,True,새싹 뿌리염색(뿌리염색+트리트먼트),0,NORMAL,,FRESH,"{'id': 212685, 'comment': '늘 찾아주셔서 감사합니다!^^ 날씨가너무좋은데 좋은하루되세요^^ㅎㅎㅎ', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
268,396781,사라쌤한테 파마하고서는 후회한적 절대 없어요 진짜 최고에요!!!!친구들도 추천 받고 처음에 했다가.. 두번째는 다른데 찾아보고 결국 맘에 안들어서 다시 회귀하는 미용실입니다 강추에여 진짜,서*영,1년 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/doQSB2/btqo6SMiAw8/Vx9OKawMmfAwMUL6WsjVD0/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/doQSB2/btqo6SMiAw8/Vx9OKawMmfAwMUL6WsjVD0/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/doQSB2/btqo6SMiAw8/Vx9OKawMmfAwMUL6WsjVD0/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,1959.0,사라,원장,True,여신머리 고데기펌,0,NORMAL,,FRESH,"{'id': 212684, 'comment': '늘 찾아주시고 소개도많이해주셔서 감사합니당>.< 앞으로 예쁜머리 쭉 해드릴게용ㅎㅎㅎㅎㅎㅎ좋은하루되세용!^^ㅎㅎㅎ', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
267,401385,실력과 친절에 감동받아서 자발후기써요ㅋㅋㅋ 강남에 유명한 ㅍㄹ헤어에서 유명한 디자이너한테 복구펌받았는데 너무 루즈펌에 제가 관리못해서 안나오는거처럼 얘기해서 너무 짜증났는데ㅜㅜ반함헤어는 진짜 진정성있게 대해주시고 가르쳐주는걸 넘어서 직접 셀프로 따라해보도록 코칭도 해주시고요 트리트먼트도 챙겨주셔서 너무 감사했어요! 단골될거 같아요ㅋㅋㅋㅋ 머리는 진짜 대충말리고 마지막에만 손으로 꼬고 오일바른게 끝! ㅋㅋㅋ말그대로 고데기펌이라 이름에 맞게 나와서 만족스러워용~옆에 어드민 디자이너남자분도 친절하시구 대성하세요  ,박*현,1년 전,5.0,1,"[{'photoThumbUrl': 'https://mud-kage.kakao.com/dn/3CHjM/btqpcf1GRQZ/FxdxCl20w138RkzYFwzda0/img_375x375.jpg', 'photoUrl': 'https://mud-kage.kakao.com/dn/3CHjM/btqpcf1GRQZ/FxdxCl20w138RkzYFwzda0/img.jpg', 'resizedPhoto': {'photoUrl': 'https://mud-kage.kakao.com/dn/3CHjM/btqpcf1GRQZ/FxdxCl20w138RkzYFwzda0/img_375x375.jpg', 'photoWidth': 375, 'photoHeight': 375}}]",1076,반함,1959.0,사라,원장,True,여신머리 고데기펌,0,NORMAL,,FRESH,"{'id': 214790, 'comment': '꺄 감사합니당>.< 역시나 믿고찾아주셔서 감사해요 ㅎㅎㅎ앞으로도 이쁜 고데기펌 해드릴게용!^^ 다음번 방문하실때 뵙겠습니당 ㅎㅎㅎㅎ 효진이한테도 전달해드릴게요!^^ 좋은하루되세요    ㅎㅎㅎ', 'updateDate': '1년 전', 'author': '반함', 'complianceStatus': 'NORMAL', 'blindAt': ''}",False
266,404669,단발 후 1년간 아무것도 안하고 기르다가 거지존이 되어 뭐라도 해볼까 싶어서 인스타 보고 예약했었어요~~ 처음 가는 샵이라 걱정 반 기대 반이었는데 결과는 정말 만족합니다! 쌤이 드라이 해주셨을 때랑 100% 똑같이 드라이는 아직 안되지만    7-80%는 웨이브가 나와서 신기하기도 하고 알려주신대로 연습하면 점점 더 예쁘게 될 것 같아요 !!,안*경,1년 전,5.0,0,[],1076,반함,1959.0,사라,원장,True,여신머리 고데기펌,0,NORMAL,,FRESH,{},False
